X,Y,Z
-52,-235,3862
-62,-256,3798
29,-282,3722
6,-275,3685
-62,-283,3636
-109,-275,3611
-38,-188,3531
23,-129,3315
53,-179,3088
133,-252,2863
273,-330,2730
272,-337,2614
232,-323,2532
254,-252,2465
293,-275,2426
282,-325,2413
256,-406,2450
186,-345,2359
99,-253,2206
73,-159,2005
101,-172,1815
138,-245,1690
179,-352,1617
135,-374,1490
174,-393,1380
383,-466,1214
306,-585,1103
-22,-611,1141
288,-289,1226
928,1505,1842
955,1042,3445
976,-1902,615
828,-757,1804
396,-467,2183
74,-796,1849
42,-666,1497
456,-316,400
592,200,836
1303,336,1219
663,-257,1075
1106,-419,1033
451,-1187,1673
615,-622,1485
844,-685,1262
208,93,699
799,512,698
1400,819,564
781,403,-437
1010,156,-30
618,915,58
133,597,888
406,815,1439
632,750,314
825,244,-151
564,312,-340
322,306,-432
119,240,-496
-421,93,-113
-779,-552,-86
-758,-1069,200
218,-717,615
601,264,1139
-521,889,2014
-1578,1330,2332
-1852,837,1937
-1314,-344,1085
-1013,-1454,325
-1028,-1959,61
-1131,-1705,163
-1725,-860,524
-1971,-135,1331
-1652,248,2104
-762,575,2437
8,735,2237
-715,50,2044
-1801,-824,1596
-2256,-1275,831
-2008,-1163,250
-1854,-850,-139
-1400,-476,-210
-899,-732,1003
-1144,-904,2224
-1962,-871,2285
-2548,-702,1463
-2354,31,545
-982,515,-142
581,712,-1040
1155,555,-1714
651,148,-1568
6,115,-908
-1158,-169,-220
-2322,-1207,-133
-1860,-1875,-923
-632,-2078,-1416
-159,-1988,-1012
-582,-1670,61
-1093,-1468,1020
-1510,-819,1543
-1332,-91,1515
-295,-205,1079
926,-57,770
670,97,959
-384,-500,927
-916,-1192,559
-1046,-1395,0
-692,-1399,-519
-308,-1441,-582
-208,-1103,-900
-259,-856,-1072
172,-247,-1120
490,497,-686
440,1238,-316
468,1662,-444
1082,1678,-687
1913,1287,-491
2089,992,-368
1712,1238,-653
1175,1761,-1003
668,1898,-1148
389,739,-649
881,-654,208
1349,-958,562
1210,-295,789
287,213,1296
-367,298,1371
-358,385,904
127,473,-22
353,573,-889
236,545,-1417
204,404,-1381
307,-124,-676
905,-718,361
1500,-494,781
1501,100,955
800,273,810
524,-224,411
754,-522,131
790,-28,136
286,419,420
-89,339,478
148,-27,440
733,45,339
950,405,364
781,856,432
604,1269,352
586,1438,283
676,1331,214
984,1427,51
1516,2216,50
1661,2953,686
1201,2529,1202
741,1442,813
878,623,-244
1193,123,-676
1130,197,-117
333,25,655
-150,-478,1046
-373,-1064,1106
-653,-1437,734
-513,-1268,469
-324,-706,190
-702,-116,-312
-1126,385,-754
-784,601,-362
-260,331,238
-403,-434,202
-504,-722,-274
-413,-345,-412
-479,266,0
-1501,718,237
-2369,332,151
-1278,-318,370
173,-389,1023
227,-195,1481
-476,445,1274
-1087,1046,501
-1123,1185,-386
-573,865,-955
243,226,-1025
733,171,-1155
579,502,-1288
141,814,-1186
-88,1103,-1044
-293,1120,-950
-332,1030,-1074
71,1144,-1180
316,1455,-826
-99,1617,74
-823,1195,1145
-1033,689,1747
-484,831,1888
-248,830,1282
-516,756,625
-130,691,407
363,220,793
986,-210,1806
1423,-297,2974
897,391,2985
-170,972,1906
-913,788,135
-753,317,-1562
-47,-82,-2326
354,-298,-1831
-17,-161,-1004
-503,-126,-665
-901,-680,-593
-897,-1425,-476
-65,-1687,-682
810,-972,-1147
805,-29,-1221
468,331,-949
225,47,-644
497,-984,-862
860,-1108,-810
647,-192,-290
-479,1136,602
-1376,1276,1010
-1061,123,1290
588,-399,960
1243,107,327
356,367,378
-57,96,670
-91,-467,546
331,-890,52
862,-868,-589
895,-497,-1002
-2,-241,-1313
-1035,-608,-1720
-467,-1547,-1480
1303,-828,-568
1043,1010,736
-1070,1769,1566
-1842,1440,1268
-513,717,454
466,592,-380
-382,98,-653
-1559,-481,-769
-1989,-1651,-775
-1440,-2648,-449
-371,-2200,615
-624,-1434,1892
-1793,-978,2283
-2636,-1349,2023
-2434,-1875,2227
-1969,-1444,1495
-1157,-1103,-44
120,-526,-1026
793,-64,-853
190,-140,-5
-467,-115,58
-174,-467,-266
-89,-1153,-610
-656,-1310,-990
-1257,-1231,-1331
-1413,-1012,-1547
-917,-654,-1726
-179,-398,-1723
547,-368,-1398
1059,-304,-452
1153,173,1166
400,507,2361
-697,572,2441
-1189,419,1192
-593,236,-385
374,313,-1459
991,588,-1958
1442,789,-1732
1929,1202,-1213
2309,1778,-394
2236,2234,-50
980,2185,-232
-367,1268,-383
-906,162,-187
-903,-377,240
-512,-366,850
-165,-393,1371
92,-426,1368
-89,-363,638
-361,-287,-398
-281,-96,-947
20,31,-795
206,153,-236
273,429,299
60,327,571
50,-8,796
297,-779,1265
776,-1131,1439
993,-1122,905
1000,-786,252
353,-802,30
-258,-561,49
35,-104,62
1019,395,-161
1420,513,-446
1314,332,-640
