X,Y,Z
-58,-128,3918
-44,-123,3796
-40,-104,3661
-79,-82,3575
-99,-81,3491
-133,-74,3454
-143,0,3341
-160,2,3220
-139,-28,3073
-91,8,2969
-75,-8,2839
-12,-51,2786
0,-52,2703
-44,-77,2643
-81,-47,2598
-96,-43,2492
-91,-30,2417
-105,-29,2338
-148,-31,2311
-153,-66,2261
-111,-84,2115
-101,-59,2064
-111,-93,2016
-105,-114,1961
-65,-157,1866
-58,-110,1838
-65,-119,1762
-79,-63,1651
-72,0,1525
-71,22,1477
-93,20,1477
-128,55,1423
-168,50,1436
-151,26,1493
-131,33,1457
-136,14,1372
-127,38,1320
-154,28,1255
-111,-24,1245
-53,-103,1253
-58,-77,1222
-87,-55,1143
-39,-52,1027
-42,-47,1021
-105,54,981
-129,111,967
-102,93,955
-68,88,958
-114,143,942
-188,196,940
-152,212,907
-146,159,796
-85,94,712
-57,80,652
-85,54,670
-124,35,666
-103,-18,673
-45,-18,686
-59,11,606
-67,17,511
-26,29,543
-45,44,479
-54,32,420
-9,32,433
-33,29,536
-35,52,583
-25,27,579
-11,48,535
-6,69,463
-21,62,429
-17,69,396
-19,72,391
-25,62,322
25,54,321
44,38,374
42,62,425
15,58,420
16,50,409
8,4,390
20,37,299
-8,50,268
-44,37,261
-37,34,242
-39,43,241
-8,48,213
12,51,239
28,96,222
12,126,193
20,105,185
14,114,176
3,117,247
-35,144,207
2,62,264
48,70,217
-4,107,147
-18,93,168
36,34,195
36,28,199
34,58,156
49,27,127
46,30,166
18,30,191
-32,30,165
-49,67,207
-77,53,210
-74,30,121
-51,14,95
-52,-1,81
-41,10,16
-21,-10,-4
-4,-37,7
15,-27,63
-17,-14,161
-62,-22,154
-36,-17,143
-42,13,95
-69,37,123
-88,20,148
-46,28,118
-54,23,133
-28,-1,49
-5,-6,15
42,-19,-14
34,-30,5
24,-56,21
19,-34,81
-14,-59,71
-29,-15,126
-56,-13,89
-49,9,109
-78,21,102
-94,5,86
-60,-5,22
-21,11,-11
-28,0,36
-30,-26,65
5,-40,20
26,-17,23
-6,34,3
-28,55,8
-44,60,-10
-84,42,-23
-52,46,-66
-46,28,-12
-40,-34,31
-10,-63,104
-4,-67,119
7,-68,63
32,-54,24
23,-55,22
9,-90,73
-10,-63,101
