X,Y,Z
-547,-1069,3720
-458,-1026,3624
-329,-1045,3505
-157,-1127,3475
-85,-1088,3429
-69,-979,3406
-89,-849,3290
-82,-726,3175
-55,-685,3092
-118,-693,2970
-168,-666,2847
-66,-568,2668
32,-582,2624
-36,-574,2575
-101,-513,2452
-132,-464,2315
-6,-496,2204
249,-533,2291
349,-593,2475
296,-616,2528
171,-534,2451
111,-493,2175
207,-451,1967
269,-423,1816
246,-408,1773
174,-376,1657
151,-265,1467
177,-78,1247
157,34,1101
131,40,1169
81,34,1289
38,47,1273
38,156,1253
16,204,1284
71,276,1296
189,270,1400
160,178,1625
22,115,1635
-58,22,1517
-43,-2,1243
70,-86,1029
72,-231,987
75,-316,1042
144,-365,1365
74,-335,1621
-208,-238,1699
-586,-215,1568
-697,-351,1231
-493,-402,680
-249,-245,227
-72,-71,168
-100,8,423
-197,20,680
-199,-82,836
-107,-241,895
-35,-353,855
112,-400,1029
-71,-403,1167
-407,-341,987
-490,-197,657
-243,-125,273
-46,-190,93
75,-214,195
-44,-234,265
-171,-147,229
-36,-209,289
132,-280,360
182,-347,492
207,-442,685
93,-490,754
-92,-443,673
-92,-331,517
16,-147,368
-173,-226,225
-96,-190,208
-195,-366,91
-187,-458,38
-151,-384,34
-84,-267,201
113,-238,675
116,-314,989
-41,-315,965
-149,-85,591
-98,75,74
-9,63,-252
106,-119,-457
206,-419,-489
357,-501,-444
410,-830,-328
435,-751,-11
405,-566,419
70,-461,651
-118,-283,529
-135,26,104
-46,306,-204
-58,390,-242
-167,469,-91
-154,323,-21
-168,340,187
-312,211,178
-108,182,184
-50,202,222
77,267,205
197,201,72
267,461,-78
209,590,-220
151,615,-169
156,573,5
220,470,247
49,418,450
-178,490,380
-350,538,176
-368,452,226
-168,223,681
-68,125,1181
-147,288,1429
-314,532,1343
-535,549,931
-467,542,478
-345,611,-22
-230,670,-384
-144,574,-661
-11,267,-672
224,-19,-557
579,-439,-200
657,-279,126
466,-236,376
31,-127,555
-247,72,520
-345,203,367
-304,522,-2
-310,702,-402
-314,649,-542
-254,538,-441
-134,387,-336
-30,103,-303
210,-170,-340
443,-227,-354
652,-145,-220
621,-100,118
413,-83,292
305,-24,308
322,137,180
325,328,74
245,227,310
46,218,436
-82,240,515
-179,162,598
-236,133,523
-383,160,202
-377,17,5
-75,-85,-34
-135,306,125
-356,428,329
-319,257,610
-104,165,603
38,-16,394
-13,-145,40
-2,-81,-375
-2,72,-601
